Epoch F1_score EM_score Epoch_time
10 0.000966578448812 0.0 4.32213401794
11 0.00455225513561 0.0 1.94104599953
12 0.00616307383967 0.0 1.99941396713
13 0.00469032113609 0.0 1.93077802658
14 0.0140761704937 0.01 2.00956082344
15 0.00899079448681 0.0 1.95876812935
16 0.0437649334719 0.01 1.99772787094
17 0.0241929613664 0.0 1.87301015854
18 0.0462353292338 0.0 1.96066689491
19 0.0383702134189 0.01 1.92262411118
Epoch F1_score EM_score Epoch_time
Epoch F1_score EM_score Epoch_time
10 0.237215744825 0.16 9659.51843214
11 0.274352162172 0.19 9587.09242487
12 0.354770651145 0.22 9817.67866206
13 0.471919641034 0.33 9797.47593784
14 0.558787656547 0.34 9843.74051499
15 0.605434664746 0.44 9844.51916909
16 0.701083487537 0.57 9838.91687298
17 0.671957740261 0.48 9204.16600084
18 0.689730527836 0.55 9076.31184506
19 0.697153066437 0.5 8950.21927881
